period,start,end,approve,disapprove,no_opinion,president
2003 Apr 5-6,2003-04-05,2003-04-06,70,27,3,Bush
2003 Mar 29-30,2003-03-29,2003-03-30,71,26,3,Bush
2003 Mar 24-25,2003-03-24,2003-03-25,69,27,4,Bush
2003 Mar 22-23,2003-03-22,2003-03-23,71,25,4,Bush
2003 Mar 14-15,2003-03-14,2003-03-15,58,38,4,Bush
2003 Mar 3-5,2003-03-03,2003-03-05,57,37,6,Bush
2003 Feb 24-26,2003-02-24,2003-02-26,57,37,6,Bush
2003 Feb 17-19,2003-02-17,2003-02-19,58,37,5,Bush
2003 Feb 7-9,2003-02-07,2003-02-09,61,34,5,Bush
2003 Feb 3-6,2003-02-03,2003-02-06,59,35,6,Bush
2003 Jan 31-Feb 2,2003-01-31,2003-02-02,61,35,4,Bush
2003 Jan 23-25,2003-01-23,2003-01-25,60,36,4,Bush
2003 Jan 20-22,2003-01-20,2003-01-22,58,36,6,Bush
2003 Jan 13-16,2003-01-13,2003-01-16,61,34,5,Bush
2003 Jan 10-12,2003-01-10,2003-01-12,58,37,5,Bush
2003 Jan 3-5,2003-01-03,2003-01-05,63,32,5,Bush
2002 Dec 19-22,2002-12-19,2002-12-22,61,32,7,Bush
2002 Dec 16-17,2002-12-16,2002-12-17,63,33,4,Bush
2002 Dec 9-10,2002-12-09,2002-12-10,63,32,5,Bush
2002 Dec 5-8,2002-12-05,2002-12-08,64,29,7,Bush
2002 Nov 22-24,2002-11-22,2002-11-24,65,28,7,Bush
2002 Nov 11-14,2002-11-11,2002-11-14,66,26,8,Bush
2002 Nov 8-10,2002-11-08,2002-11-10,68,27,5,Bush
2002 Oct 31-Nov 3,2002-10-31,2002-11-03,63,29,8,Bush
2002 Oct 21-22,2002-10-21,2002-10-22,67,28,5,Bush
2002 Oct 14-17,2002-10-14,2002-10-17,62,31,7,Bush
2002 Oct 3-6,2002-10-03,2002-10-06,67,28,5,Bush
2002 Sep 23-26,2002-09-23,2002-09-26,68,26,6,Bush
2002 Sep 20-22,2002-09-20,2002-09-22,66,30,4,Bush
2002 Sep 13-16,2002-09-13,2002-09-16,70,26,4,Bush
2002 Sep 5-8,2002-09-05,2002-09-08,66,30,4,Bush
2002 Sep 2-4,2002-09-02,2002-09-04,66,29,5,Bush
2002 Aug 19-21,2002-08-19,2002-08-21,65,28,7,Bush
2002 Aug 5-8,2002-08-05,2002-08-08,68,26,6,Bush
2002 Jul 29-31,2002-07-29,2002-07-31,71,23,6,Bush
2002 Jul 26-28,2002-07-26,2002-07-28,69,26,5,Bush
2002 Jul 22-24,2002-07-22,2002-07-24,69,24,7,Bush
2002 Jul 9-11,2002-07-09,2002-07-11,73,21,6,Bush
2002 Jul 5-8,2002-07-05,2002-07-08,76,18,6,Bush
2002 Jun 28-30,2002-06-28,2002-06-30,76,19,5,Bush
2002 Jun 21-23,2002-06-21,2002-06-23,73,21,6,Bush
2002 Jun 17-19,2002-06-17,2002-06-19,74,20,6,Bush
2002 Jun 7-8,2002-06-07,2002-06-08,74,18,8,Bush
2002 Jun 3-6,2002-06-03,2002-06-06,70,23,7,Bush
2002 May 28-29,2002-05-28,2002-05-29,77,17,6,Bush
2002 May 20-22,2002-05-20,2002-05-22,76,17,7,Bush
2002 May 6-9,2002-05-06,2002-05-09,76,19,5,Bush
2002 Apr 29-May 1,2002-04-29,2002-05-01,77,20,3,Bush
2002 Apr 22-24,2002-04-22,2002-04-24,77,17,6,Bush
2002 Apr 8-11,2002-04-08,2002-04-11,75,20,5,Bush
2002 Apr 5-7,2002-04-05,2002-04-07,76,19,5,Bush
2002 Mar 22-24,2002-03-22,2002-03-24,79,17,4,Bush
2002 Mar 18-20,2002-03-18,2002-03-20,79,16,5,Bush
2002 Mar 8-9,2002-03-08,2002-03-09,80,14,6,Bush
2002 Mar 4-7,2002-03-04,2002-03-07,77,18,5,Bush
2002 Mar 1-3,2002-03-01,2002-03-03,81,14,5,Bush
2002 Feb 8-10,2002-02-08,2002-02-10,82,14,4,Bush
2002 Feb 4-6,2002-02-04,2002-02-06,82,14,4,Bush
2002 Jan 25-27,2002-01-25,2002-01-27,84,13,3,Bush
2002 Jan 11-14,2002-01-11,2002-01-14,83,13,4,Bush
2002 Jan 7-9,2002-01-07,2002-01-09,84,12,4,Bush
2001 Dec 14-16,2001-12-14,2001-12-16,86,11,3,Bush
2001 Dec 6-9,2001-12-06,2001-12-09,86,10,4,Bush
2001 Nov 26-27,2001-11-26,2001-11-27,87,8,5,Bush
2001 Nov 8-11,2001-11-08,2001-11-11,87,9,4,Bush
2001 Nov 2-4,2001-11-02,2001-11-04,87,9,4,Bush
2001 Oct 19-21,2001-10-19,2001-10-21,88,9,3,Bush
2001 Oct 11-14,2001-10-11,2001-10-14,89,8,3,Bush
2001 Oct 5-6,2001-10-05,2001-10-06,87,10,3,Bush
2001 Sep 21-22,2001-09-21,2001-09-22,90,6,4,Bush
2001 Sep 14-15,2001-09-14,2001-09-15,86,10,4,Bush
