strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured
Ob310,2013-01-08T00:00:00Z,"Malangan Hassokhel, Tehsil Mir Ali",Pakistan,North Waziristan,0,9,0,0,0,0,1,4
Ob311,2013-01-10T00:00:00Z,"Hassokhel, near Mir Ali",Pakistan,North Waziristan,3,6,0,0,0,0,0,0
Ob312,2013-02-06T00:00:00Z,Spinwam,Pakistan,North Waziristan,3,5,0,2,0,0,1,1
Ob313,2013-02-08T00:00:00Z,Babar Ghar,Pakistan,South Waziristan,6,9,0,0,0,0,2,6
Ob314,2013-03-10T00:00:00Z,Datta Khel,Pakistan,North Waziristan,1,3,0,0,0,0,1,1
Ob315,2013-03-22T00:00:00Z,"New Adda, Tehsil Datta Khel",Pakistan,North Waziristan,1,4,0,0,0,0,1,1
Ob316,2013-04-14T00:00:00Z,Datta Khel,Pakistan,North Waziristan,4,6,0,0,0,0,2,2
Ob317,2013-04-17T00:00:00Z,"Pobar, Tehsil Ladha",Pakistan,South Waziristan,4,6,0,0,0,0,2,7
Ob318,2013-05-29T00:00:00Z,"Qazi Kot, Tehsil Miranshah",Pakistan,North Waziristan,3,7,0,0,0,0,1,4
Ob319,2013-06-07T00:00:00Z,"Shui Khel Mandi, Tehsil Shawal",Pakistan,North Waziristan,7,11,0,0,0,0,3,4
Ob320,2013-07-03T00:00:00Z,"Shui Khel Mandi, Tehsil Shawal",Pakistan,North Waziristan,16,18,0,0,0,0,5,5
Ob321,2013-07-13T00:00:00Z,Khray Chila Mossaki area of Mir Ali,Pakistan,North Waziristan,2,3,0,0,0,0,0,0
Ob322,2013-07-28T00:00:00Z,"Zoi Nair, Tehsil Shawal",Pakistan,North Waziristan,5,8,0,0,0,0,2,4
Ob323,2013-08-31T00:00:00Z,"Mossaki, Tehsil Mir Ali",Pakistan,North Waziristan,3,4,0,0,0,0,1,3
Ob324,2013-09-06T00:00:00Z,"Tabi, Tehsil Ghulam Khan",Pakistan,North Waziristan,5,7,0,0,0,0,3,7
Ob325,2013-09-22T00:00:00Z,"ShawalPalgai area, Thesil Makin",Pakistan,North/South Waziristan,6,7,0,0,0,0,2,4
Ob326,2013-09-29T00:00:00Z,Darga Mandi,Pakistan,North Waziristan,3,6,0,0,0,0,1,3
Ob327,2013-09-30T00:00:00Z,"Land Char Khel, Tehsil Datta Khel",Pakistan,North Waziristan,1,4,0,0,0,0,2,4
Ob328,2013-10-31T00:00:00Z,Miranshah,Pakistan,North Waziristan,0,5,0,0,0,0,3,3
Ob329,2013-11-01T00:00:00Z,Dandi Darpakhel,Pakistan,North Waziristan,4,7,0,0,0,0,2,2
Ob330,2013-11-21T00:00:00Z,"Tal, Hangu District",Pakistan,Khyber Pakhtunkhwa province,6,9,0,0,0,0,1,9
Ob331,2013-11-29T00:00:00Z,Miranshah,Pakistan,North Waziristan,2,3,0,0,0,0,1,2
Ob332,2013-12-25T00:00:00Z,"Qutab Khel, Miranshah",Pakistan,North Waziristan,3,4,0,0,0,0,1,1
