start,end,approve,disapprove,unsure,president
2002-10-31,2002-11-03,63,29,8,Bush
2002-10-21,2002-10-22,67,28,5,Bush
2002-10-14,2002-10-17,62,31,7,Bush
2002-10-03,2002-10-06,67,28,5,Bush
2002-09-23,2002-09-26,68,26,6,Bush
2002-09-20,2002-09-22,66,30,4,Bush
2002-09-13,2002-09-16,70,26,4,Bush
2002-09-05,2002-09-08,66,30,4,Bush
2002-09-02,2002-09-04,66,29,5,Bush
2002-08-19,2002-08-21,65,28,7,Bush
2002-08-05,2002-08-08,68,26,6,Bush
2002-07-29,2002-07-31,71,23,6,Bush
2002-07-26,2002-07-28,69,26,5,Bush
2002-07-22,2002-07-24,69,24,7,Bush
2002-07-09,2002-07-11,73,21,6,Bush
2002-07-05,2002-07-08,76,18,6,Bush
2002-06-28,2002-06-30,76,19,5,Bush
2002-06-21,2002-06-23,73,21,6,Bush
2002-06-17,2002-06-19,74,20,6,Bush
2002-06-07,2002-06-08,74,18,8,Bush
2002-06-03,2002-06-06,70,23,7,Bush
2002-05-28,2002-05-29,77,17,6,Bush
2002-05-20,2002-05-22,76,17,7,Bush
2002-05-06,2002-05-09,76,19,5,Bush
2002-04-29,2002-05-01,77,20,3,Bush
2002-04-22,2002-04-24,77,17,6,Bush
2002-04-08,2002-04-11,75,20,5,Bush
2002-04-05,2002-04-07,76,19,5,Bush
2002-03-22,2002-03-24,79,17,4,Bush
2002-03-18,2002-03-20,79,16,5,Bush
2002-03-08,2002-03-09,80,14,6,Bush
2002-03-04,2002-03-07,77,18,5,Bush
2002-03-01,2002-03-03,81,14,5,Bush
2002-02-08,2002-02-10,82,14,4,Bush
2002-02-04,2002-02-06,82,14,4,Bush
2002-01-25,2002-01-27,84,13,3,Bush
2002-01-11,2002-01-14,83,13,4,Bush
2002-01-07,2002-01-09,84,12,4,Bush
2001-12-14,2001-12-16,86,11,3,Bush
2001-12-06,2001-12-09,86,10,4,Bush
2001-11-26,2001-11-27,87,8,5,Bush
2001-11-08,2001-11-11,87,9,4,Bush
2001-11-02,2001-11-04,87,9,4,Bush
2001-10-19,2001-10-21,88,9,3,Bush
2001-10-11,2001-10-14,89,8,3,Bush
2001-10-05,2001-10-06,87,10,3,Bush
2001-09-21,2001-09-22,90,6,4,Bush
2001-09-14,2001-09-15,86,10,4,Bush
2001-09-07,2001-09-10,51,39,10,Bush
2001-08-24,2001-08-26,55,36,9,Bush
2001-08-16,2001-08-19,57,34,9,Bush
2001-08-10,2001-08-12,57,35,8,Bush
2001-08-03,2001-08-05,55,35,10,Bush
2001-07-19,2001-07-22,56,33,11,Bush
2001-07-10,2001-07-11,57,35,8,Bush
2001-06-28,2001-07-01,52,34,14,Bush
2001-06-11,2001-06-17,55,33,12,Bush
2001-06-08,2001-06-10,55,35,10,Bush
2001-05-18,2001-05-20,56,36,8,Bush
2001-05-10,2001-05-14,56,31,13,Bush
2001-05-07,2001-05-09,53,33,14,Bush
2001-04-20,2001-04-22,62,29,9,Bush
2001-04-06,2001-04-08,59,30,11,Bush
2001-03-26,2001-03-28,53,29,18,Bush
2001-03-09,2001-03-11,58,29,13,Bush
2001-03-05,2001-03-07,63,22,15,Bush
2001-02-19,2001-02-21,62,21,17,Bush
2001-02-09,2001-02-11,57,25,18,Bush
2001-02-01,2001-02-04,57,25,18,Bush
