strike_id,date,location,area,country,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured
SOM001,2007-01-07T00:00:00Z,Ras Kamboni,NA,Somalia,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,8,10,2,2,0,1,1,3
SOM002,2007-01-09T00:00:00Z,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",NA,Somalia,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,5,10,0,0,0,0,4,5
SOM003,2007-01-09T00:00:00Z,Hayo,NA,Somalia,Possible,TRUE,FALSE,Air assault - helicopter,1,1,4,31,4,31,0,1,0,0
SOM004,2007-01-23T00:00:00Z,Waldena,NA,Somalia,Confirmed,TRUE,FALSE,"Air assault - AC-130 Gunship
Ground operation - capture mission",1,1,8,8,0,0,0,0,0,0
SOM005,2007-06-01T00:00:00Z,Bargal,NA,Somalia,Confirmed,FALSE,FALSE,Naval operation - USS Chafee shore bombardment,1,1,8,12,0,0,0,0,0,0
SOM006,2008-03-03T00:00:00Z,Dhobley,NA,Somalia,Confirmed,FALSE,FALSE,"Naval operation - cruise missile
Possible air operation - AC-130 Gunship",1,1,0,6,0,4,0,0,3,8
SOM007,2008-05-01T00:00:00Z,Dusa Marreb,NA,Somalia,Confirmed,FALSE,FALSE,"Naval operation - cruise missiles
Possible air assault - AC-130 Gunship",1,1,8,15,5,10,0,0,0,0
SOM008,2009-09-14T00:00:00Z,Barawe,NA,Somalia,Confirmed,TRUE,FALSE,"Air operation - helicopter
Ground assault - body retrieval",1,1,2,6,0,0,0,0,2,2
SOM009,2011-04-03T00:00:00Z,Dhobley,NA,Somalia,Possible,TRUE,FALSE,Air operation - airstrike,1,1,1,36,0,0,0,0,0,0
SOM010,2011-06-23T00:00:00Z,Kismayo,NA,Somalia,Confirmed,TRUE,TRUE,"Air operation - drone strike
Helicopter raid",1,1,2,2,0,0,0,0,2,3
SOM011,2011-07-06T00:00:00Z,Juba,NA,Somalia,Possible,TRUE,TRUE,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM012,2011-09-25T00:00:00Z,Kismayo,NA,Somalia,Possible,TRUE,TRUE,Air operation - drone strike,1,1,0,0,0,0,0,0,0,0
SOM013,2011-11-14T00:00:00Z,Afgoye,NA,Somalia,Possible,TRUE,TRUE,Air operation - drone strike,1,1,0,2,0,0,0,0,0,0
SOM014,2012-01-21T00:00:00Z,Elasha Biyaha,NA,Somalia,Confirmed,TRUE,TRUE,Air operation - drone strike,1,1,1,1,0,0,0,0,0,0
