strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country,president,avg_ppl_killed,avg_civ_killed
YEM258,2017-01-20T00:00:00Z,NA,Yemen,Bayda,1,1,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,1,0
YEM259,2017-01-21T00:00:00Z,NA,Yemen,Bayda,3,6,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,2,NA,NA,NA,Trump,4.5,0
YEM260,2017-01-22T00:00:00Z,NA,Yemen,Bayda,1,3,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,2,NA,NA,NA,Trump,2,0
YEM261,2017-01-28T00:00:00Z,Yakla,Yemen,Bayda,39,39,25,25,10,10,7,7,Confirmed,FALSE,FALSE,"US air and ground operation
Special forces air assault and air support, possibly drone",1,1,48.516388,15.552727,Yemen,Trump,39,25
YEM262,2017-01-30T00:00:00Z,Baihan,Yemen,Shabwa,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,45.7189412,14.7976183,Yemen,Trump,2,0
T001,2017-03-02T00:00:00Z,NA,Pakistan,Kurram Agency,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trump,2,0
YEM263,2017-03-02T00:00:00Z,NA,Yemen,Across central Yemen,2,12,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strikes,25,25,NA,NA,NA,Trump,7,0
YEM264,2017-03-03T00:00:00Z,NA,Yemen,Yemen,1,8,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strikes,5,10,NA,NA,NA,Trump,4.5,0
YEM265,2017-03-04T00:00:00Z,Ahwar,Yemen,Abyan,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,46.7115929,13.5219195,Yemen,Trump,2,0
YEM266,2017-03-06T00:00:00Z,NA,Yemen,Multiple provinces,7,11,0,2,0,2,0,0,Confirmed,TRUE,FALSE,US air or drone strikes,9,4,NA,NA,NA,Trump,9,1
